recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,30,A,City of Hope,Intelligent Automation Developer,"Remote, US",indeed,2026-06-08,https://www.indeed.com/viewjob?jk=16b49fe6e0399a27,document intelligence engineer,"compliance domain, developer, document intelligence, llm, modeling, performance, rag, remote, traceability, workflow automation"
apply_first,29,A,Newpage Digital Healthcare solutions,AI Solution Engineer,"Remote, US",indeed,2026-06-09,https://www.indeed.com/viewjob?jk=f647259c84954990,ai solutions engineer,"ai, evals, llm, modeling, performance, rag, remote, solutions, traceability, workflow automation"
apply_first,25,A,"ASHC, Inc.",Contract Senior Healthcare Software Development Consultant,"Remote, US",indeed,2026-06-12,https://www.indeed.com/viewjob?jk=eccaa11cc264bb84,"ai workflow automation engineer, llm rag engineer, software engineer workflow automation","compliance domain, distributed, document intelligence, llm, performance, rag, remote, senior, software, traceability, workflow automation"
apply_first,25,B,Brillian,Senior Software Engineer (AI Products),"Remote, US",indeed,2026-06-10,https://www.indeed.com/viewjob?jk=2675163ecf3d056a,software engineer ai systems,"ai, compliance domain, evals, llm, modeling, performance, rag, remote, senior, software, workflow automation"
apply_first,25,B,Crowe LLP,Senior AI Engineer,"Grand Rapids, MI, US",indeed,2026-06-02,https://www.indeed.com/viewjob?jk=aebc369e1dedd710,compliance ai engineer,"ai, compliance domain, distributed, evals, llm, modeling, performance, rag, senior, traceability, workflow automation"
apply_first,25,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Grand Rapids, MI, US",indeed,2026-06-10,https://www.indeed.com/viewjob?jk=007eb750c2feb2d6,llm rag engineer,"ai, evals, llm, modeling, performance, rag, traceability, workflow automation"
apply_first,25,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Detroit, MI, US",indeed,2026-06-10,https://www.indeed.com/viewjob?jk=dbe9955f440d88ca,llm rag engineer,"ai, evals, llm, modeling, performance, rag, traceability, workflow automation"
apply_first,25,A,Patsnap,AI Solutions Lead – IP Legal / Patent Drafting,"Remote, US",indeed,2026-06-12,https://www.indeed.com/viewjob?jk=c8749c60eddb7de3,ai workflow automation engineer,"ai, compliance domain, evals, lead, llm, rag, remote, solutions, workflow automation"
apply_first,24,A,Ethos Life,AI Red Team Security Engineer,"Remote, US",indeed,2026-06-16,https://www.indeed.com/viewjob?jk=969b8246fa60a633,llm rag engineer,"ai, compliance domain, llm, modeling, rag, remote, traceability, workflow automation"
apply_first,24,A,Instacart,"Senior Software Engineer II, AI Labs & Foundations","Remote, US",indeed,2026-06-15,https://www.indeed.com/viewjob?jk=373129946e19ecda,"llm rag engineer, software engineer ai systems","ai, distributed, llm, modeling, performance, rag, remote, senior, software, workflow automation"
apply_first,24,A,TRADESTATION,Principal AI Solutions Engineer,"Remote, US",indeed,2026-06-12,https://www.indeed.com/viewjob?jk=0776d776fd15b724,"ai solutions engineer, llm rag engineer","ai, evals, llm, modeling, performance, principal, rag, remote, solutions, traceability, workflow automation"
