recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,19,A,"Mission Technologies, a division of HII",Modeling & Simulation Systems Engineer (Engineer Sys Mod Sim 3) - Remote,,linkedin,nan,https://www.linkedin.com/jobs/view/4419349820,modeling and simulation engineer,"modeling, remote, simulation, systems"
apply_first,19,A,Northrop Grumman,Engineer Systems Modeling & Simulation - Level 5 : Loads & Dynamics,"Remote, US",indeed,2026-05-26,https://www.indeed.com/viewjob?jk=313d4791054b7e76,"modeling and simulation engineer, simulation engineer, simulation software engineer","modeling, remote, simulation, systems"
apply_first,17,A,Renk,Sr Modeling & Simulation Engineer,"Muskegon, MI, US",indeed,2026-05-27,https://www.indeed.com/viewjob?jk=415e37968ac071c8,modeling and simulation engineer,"modeling, performance, simulation"
apply_first,16,A,General Motors (GM),Simulation Integration Engineer – Software-In-Loop (SiL) Controls Integration and Simulation Development,"Pontiac, MI, US",indeed,2026-05-27,https://www.indeed.com/viewjob?jk=f6f5d4a4d3e62566,"modeling and simulation engineer, simulation software engineer","modeling, performance, simulation, software"
apply_first,15,A,Intrinsic,AFSIM Modeling and Simulation Engineer,,linkedin,nan,https://www.linkedin.com/jobs/view/4419340193,"modeling and simulation engineer, simulation engineer","modeling, simulation"
apply_first,15,A,RENK America,Sr Modeling & Simulation Engineer,"Muskegon, MI",linkedin,nan,https://www.linkedin.com/jobs/view/4417678293,modeling and simulation engineer,"modeling, simulation"
apply_first,14,A,Enlyte,Software Developer in Test,"Remote, US",indeed,2026-05-07,https://www.indeed.com/viewjob?jk=2ea321b4cef86aa1,"real time software engineer, systems software engineer","developer, distributed, performance, remote, software"
apply_first,14,A,General Motors (GM),Component HIL Simulation and Integration Engineer,"Milford, MI, US",indeed,2026-05-28,https://www.indeed.com/viewjob?jk=9e6c7716a38f2fe1,"simulation engineer, simulation software engineer","modeling, performance, simulation"
apply_first,12,B,Astera Labs,Distinguished Engineer – System & Rack Hardware Architecture,"Remote, US",indeed,2026-05-20,https://www.indeed.com/viewjob?jk=ff7e88621714d06f,hpc software engineer,"distributed, hpc, performance, remote, systems"
apply_first,12,A,Auria,RF Simulation SW Engineer,"Remote, US",indeed,2026-05-22,https://www.indeed.com/viewjob?jk=adc4e738c0a31e04,"simulation engineer, simulation software engineer","remote, simulation"
