recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,12,A,Ford Motor Company,Sr. Systems Development Engineer,"Dearborn, MI, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=8560e0d2486340d5,"modeling and simulation engineer, simulation engineer, simulation software engineer","distributed, modeling, simulation, systems"
apply_first,12,A,General Motors,Software Engineer - HIL Battery & Propulsion Simulation and Integration,"Milford, MI",linkedin,2026-04-17,https://www.linkedin.com/jobs/view/4403533756,real time software engineer,"simulation, software"
apply_first,12,A,Indeed,Software Engineer III,"Remote, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=f769fa811cfaff87,real time software engineer,"distributed, performance, remote, software"
apply_first,12,A,Motional,Senior Software Engineer - Autonomy Integrations,"Remote, US",indeed,2026-04-06,https://www.indeed.com/viewjob?jk=e6f64c8821c56e3c,modeling and simulation engineer,"modeling, performance, remote, senior, simulation, software"
apply_first,12,A,nan,"Senior Scientist / Engineer: Advanced Physical, Computational & Imaging Systems","Remote, US",indeed,2026-04-21,https://www.indeed.com/viewjob?jk=46bee6ddd9661f84,"modeling and simulation engineer, scientific computing engineer","modeling, performance, remote, senior, simulation, systems"
apply_first,12,B,nSCALE,Systems Engineer,"Remote, US",indeed,2026-04-16,https://www.indeed.com/viewjob?jk=baf91abd52ff876f,hpc software engineer,"distributed, hpc, performance, remote, systems"
apply_first,12,A,Quest Defense,"Software Build, Tools & Infrastructure Engineer","Remote, US",indeed,2026-04-21,https://www.indeed.com/viewjob?jk=01f2653892a486c6,"modeling and simulation engineer, simulation engineer, simulation software engineer","modeling, remote, simulation, software"
apply_first,12,A,Zillow,Software Development Engineer,"Remote, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=6400f683019b83c8,systems software engineer,"distributed, performance, remote, software"
review,11,B,KLA,HPC Storage Engineer,"Ann Arbor, MI, US",indeed,2026-04-17,https://www.indeed.com/viewjob?jk=f879a184ee12ee88,hpc software engineer,"distributed, hpc, performance"
review,11,A,Pacific Northwest National Laboratory,Power Systems Research Engineer – Energy Infrastructure Modeling,,linkedin,2026-04-16,https://www.linkedin.com/jobs/view/4401847141,modeling and simulation engineer,"modeling, systems"
review,11,A,Pacific Northwest National Laboratory,Power Systems Research Engineer – Grid Modeling & Planning,,linkedin,2026-04-16,https://www.linkedin.com/jobs/view/4401843269,modeling and simulation engineer,"modeling, systems"
review,10,A,Asenium Consulting,Simulation Engineer,,linkedin,2026-04-13,https://www.linkedin.com/jobs/view/4401312098,simulation engineer,simulation
review,10,A,Black & Veatch,Associate Electrical Engineer - Power System Protection,"Ann Arbor, MI, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=1f8c9edbd3844cd9,systems software engineer,"modeling, performance, systems"
review,10,A,DataAnnotation,Simulation Engineer - AI Trainer,"California, United States",linkedin,2026-04-17,https://www.linkedin.com/jobs/view/4391928020,simulation engineer,simulation
review,10,A,Engtal,Simulation Engineer,,linkedin,2026-04-16,https://www.linkedin.com/jobs/view/4402180764,simulation engineer,simulation
review,10,A,Ford Motor Company,Software Engineer,"Redford, MI, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=2e7e00de56aa8558,"real time software engineer, systems software engineer","modeling, performance, software"
review,10,A,General Motors,Vehicle Dynamics Simulation Engineer,"Warren, MI",linkedin,2026-04-16,https://www.linkedin.com/jobs/view/4403102887,simulation engineer,simulation
review,10,A,General Motors,Vehicle Dynamics Simulation Engineer,"Milford, MI",linkedin,2026-04-16,https://www.linkedin.com/jobs/view/4403102886,simulation engineer,simulation
