recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,16,A,"Mission Technologies, a division of HII",REMOTE Software Developer (Real‑Time Simulation & Dev Lab) - 28298,,linkedin,2026-04-22,https://www.linkedin.com/jobs/view/4404462085,modeling and simulation engineer,"developer, remote, simulation, software"
apply_first,16,A,Re:Build Manufacturing,Senior Software Engineer – CAD/CAM Services,"Remote, US",indeed,2026-04-23,https://www.indeed.com/viewjob?jk=a72b3326943ea639,"modeling and simulation engineer, simulation engineer, simulation software engineer","concurrency, graphics, modeling, performance, remote, senior, simulation, software"
apply_first,15,A,Booz Allen Hamilton,Electromagnetic Modeling and Simulation CAD Support Engineer,"Aberdeen Proving Ground, MD",linkedin,2026-04-15,https://www.linkedin.com/jobs/view/4402097333,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,"Mission Modeling and Simulation Software Engineer, Senior","Washington, DC",linkedin,nan,https://www.linkedin.com/jobs/view/4405496170,modeling and simulation engineer,"modeling, senior, simulation, software"
apply_first,15,A,Booz Allen Hamilton,"Mission Modeling and Simulation Software Engineer, Senior","McLean, VA",linkedin,nan,https://www.linkedin.com/jobs/view/4405496168,modeling and simulation engineer,"modeling, senior, simulation, software"
apply_first,15,A,Booz Allen Hamilton,"Mission Modeling and Simulation Software Engineer, Senior","Annapolis Junction, MD",linkedin,nan,https://www.linkedin.com/jobs/view/4405485752,modeling and simulation engineer,"modeling, senior, simulation, software"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Charlottesville, VA",linkedin,2026-04-15,https://www.linkedin.com/jobs/view/4402609062,modeling and simulation engineer,"modeling, simulation"
apply_first,14,A,"Mission Technologies, a division of HII",Software Developer (Real‑Time Simulation & Dev Lab) (Engineer Software 3) - 27824,"Nellis AFB, NV",linkedin,2026-04-10,https://www.linkedin.com/jobs/view/4387759536,modeling and simulation engineer,"developer, simulation, software"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Ngspice) | Remote,,linkedin,2026-04-20,https://www.linkedin.com/jobs/view/4403617076,simulation engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Circuit Simulation Engineer (Qucs-S) | Remote,,linkedin,2026-04-22,https://www.linkedin.com/jobs/view/4404278686,simulation engineer,"remote, simulation"
apply_first,12,A,Crossing Hurdles,Simulation Engineer | $61/hr Remote,"Florida, United States",linkedin,2026-04-22,https://www.linkedin.com/jobs/view/4404276827,simulation engineer,"remote, simulation"
apply_first,12,A,DataAnnotation,Simulation Engineer - AI Trainer,"Michigan, United States",linkedin,2026-04-17,https://www.linkedin.com/jobs/view/4391928017,simulation engineer,"michigan, simulation"
