recommendation,score,tier,company,title,location,sites,posted,compensation,job_url,query_labels,reasons
apply_first,16,A,US Tech Solutions,AI-Powered Python Automation & Document Processing Engineer -#26-13777,"Dallas, TX",linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426178706,document intelligence contractor,"ai, document intelligence, workflow automation"
apply_first,15,A,IC Resources,Python / LLM Engineer (Contract or Permanent),,linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426746074,llm engineer contract,"contract, llm"
apply_first,14,A,Riverbed Technology,Performance Consultant,"Remote, US",indeed,2026-06-09,,https://www.indeed.com/viewjob?jk=ba520df99a62e08e,ai automation consultant,"compliance domain, performance, remote, workflow automation"
apply_first,14,A,Salyant Ltd,Business Development Officer & AI Consultant Commission based Contract Role – (US – Remote),"Seattle, WA",linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4421164488,ai automation consultant,"ai, contract, remote"
apply_first,13,A,K Group Companies,Junior AI & Automation Engineer,"Grand Rapids, MI",linkedin,2026-06-12,,https://www.linkedin.com/jobs/view/4428136799,ai automation consultant,"ai, workflow automation"
apply_first,12,A,"Presto Phoenix, Inc.",AI Engineer (Contract),,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426608544,ai engineer contract,"ai, contract"
review,11,A,Elbit Systems of America,Principal Algorithm/AI Engineer,"Remote, US",indeed,2026-06-04,,https://www.indeed.com/viewjob?jk=05468a735b42d926,ai engineer contract,"ai, compliance domain, contract, performance, principal, remote"
review,11,B,hackajob,AVP-Compliance AI and Technology,"Charlotte, NC",linkedin,2026-06-04,,https://www.linkedin.com/jobs/view/4424294471,compliance automation consultant,"ai, compliance domain"
review,11,B,Insight Global,Legal AI Consultant,,linkedin,2026-06-12,,https://www.linkedin.com/jobs/view/4427204875,legal ai consultant,"ai, compliance domain"
review,11,A,Sapear Inc,Position : Open Text Focus System Analyst (Contract/Fulltime),"Tampa, FL",linkedin,2026-06-13,,https://www.linkedin.com/jobs/view/4428370613,document intelligence contractor,"contract, systems"
review,11,B,Scale Army Careers,AI Automation Specialist,,linkedin,2026-06-06,,https://www.linkedin.com/jobs/view/4424647510,workflow automation contractor,"ai, workflow automation"
review,11,B,Scale Army Careers,AI Automation Specialist,,linkedin,2026-06-06,,https://www.linkedin.com/jobs/view/4424667248,workflow automation contractor,"ai, workflow automation"
review,10,B,Cambridge Spark,GenAI & Automation Delivery Consultant (Project Basis),,linkedin,2026-06-08,,https://www.linkedin.com/jobs/view/4424862176,workflow automation contractor,"llm, workflow automation"
review,10,A,Gozio,Solutions Consultant,"Remote, US",indeed,2026-06-01,,https://www.indeed.com/viewjob?jk=5e96dc4bc4163b88,ai automation consultant,"remote, solutions, workflow automation"
review,10,A,Korn Ferry,AI Solutions Consultant,"Minneapolis, MN",linkedin,2026-06-04,,https://www.linkedin.com/jobs/view/4423571741,ai solutions engineer contract,"ai, solutions"
review,8,A,Cavendish Professionals,Artificial Intelligence Engineer,,linkedin,2026-06-15,,https://www.linkedin.com/jobs/view/4426402062,ai engineer contract,ai
review,8,A,Deloitte,AI Engineer Consultant,"Detroit, MI",linkedin,2026-06-07,,https://www.linkedin.com/jobs/view/4406859094,ai automation consultant,ai
review,8,A,"Holistic Partners, Inc",Artificial Intelligence Engineer,,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426630327,ai engineer contract,ai
review,8,A,idigilogic,AI Engineer,,linkedin,2026-06-07,,https://www.linkedin.com/jobs/view/4425017269,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4423187300,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4422753862,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4422748912,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4421149382,ai engineer contract,ai
review,8,A,Movement Search & Delivery,AI Implementation Strategist,,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426610431,ai automation consultant,ai
review,8,A,Robert Half,Sr. AI Engineer,"San Jose, CA",linkedin,nan,,https://www.linkedin.com/jobs/view/4428022880,document intelligence contractor,ai
review,8,B,Xcel Energy,AI Workflow Automation Lead,,linkedin,2026-06-02,,https://www.linkedin.com/jobs/view/4422625414,compliance automation consultant,"ai, lead, workflow automation"
review,8,B,Xcel Energy,AI Workflow Automation Lead,,linkedin,2026-06-02,,https://www.linkedin.com/jobs/view/4422633221,compliance automation consultant,"ai, lead, workflow automation"
low_priority,7,A,Proctor Loan Protector,Document Workflow Engineer,"Troy, MI",linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4414664514,document intelligence contractor,workflow automation
low_priority,7,B,Qualus,Senior Utility Compliance Consultant (Remote),"Austin, TX",linkedin,2026-06-12,,https://www.linkedin.com/jobs/view/4315464398,compliance automation consultant,"compliance domain, remote, senior"
low_priority,7,B,Upwork,#121513 - Torii SaaS Management & Automation Specialist,"Mexico City, Mexico",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4423111398,workflow automation contractor,workflow automation
