recommendation,score,tier,company,title,location,sites,posted,job_url,query_labels,reasons
apply_first,19,B,KLA,High Performance Compute (HPC) Software Engineer – HPC SW Systems,"Ann Arbor, MI, US",indeed,2026-05-12,https://www.indeed.com/viewjob?jk=679af3b8989679aa,hpc software engineer,"concurrency, distributed, hpc, performance, software, systems"
apply_first,19,A,LMI,Space Modeling & Simulation Systems Engineer,"Remote, US",indeed,2026-05-07,https://www.indeed.com/viewjob?jk=b9822aa9db4b5ec6,modeling and simulation engineer,"modeling, remote, simulation, systems"
apply_first,18,A,DLB Associates,CFD/Co-Simulation Engineer III,"Remote, US",indeed,2026-05-11,https://www.indeed.com/viewjob?jk=960b683f71ec282c,modeling and simulation engineer,"concurrency, modeling, performance, remote, simulation"
apply_first,18,A,"Studsvik Scandpower, Inc.",Software Engineer for Java Development,"Remote, US",indeed,2026-05-08,https://www.indeed.com/viewjob?jk=6a31f5f745cce166,"hpc software engineer, modeling and simulation engineer, scientific computing engineer","concurrency, hpc, modeling, performance, remote, simulation, software"
apply_first,17,A,Booz Allen Hamilton,Modeling and Simulation Software Engineer,"Patterson, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413279499,modeling and simulation engineer,"modeling, simulation, software"
apply_first,17,A,Booz Allen Hamilton,Modeling and Simulation Software Engineer,"Beavercreek, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413286040,modeling and simulation engineer,"modeling, simulation, software"
apply_first,16,A,COLSA,ServiceNow Developer,"Remote, US",indeed,2026-05-12,https://www.indeed.com/viewjob?jk=c9a2282eb317eda0,"modeling and simulation engineer, simulation engineer","developer, distributed, modeling, performance, remote, simulation"
apply_first,15,A,Booz Allen Hamilton,Electromagnetic Modeling and Simulation CAD Support Engineer,"Aberdeen Proving Ground, MD",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413283202,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Dayton, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413284170,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Washington, DC",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413284081,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Beavercreek, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413276984,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Patterson, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413284057,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Patterson, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413282090,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Patterson, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413279257,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,Modeling and Simulation Engineer,"Beavercreek, OH",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413282073,modeling and simulation engineer,"modeling, simulation"
apply_first,15,A,Booz Allen Hamilton,"Modeling and Simulation Engineer, Mid","Arlington, VA",linkedin,2026-05-12,https://www.linkedin.com/jobs/view/4413296014,modeling and simulation engineer,"modeling, simulation"
apply_first,15,B,KLA,High Performance Compute (HPC) Software Engineer – HPC SW Systems,"Ann Arbor, MI",linkedin,2026-05-11,https://www.linkedin.com/jobs/view/4412969529,hpc software engineer,"hpc, performance, software, systems"
apply_first,13,A,Deepgram,"Network Engineer, Real-Time Infrastructure","Remote, US",indeed,2026-05-14,https://www.indeed.com/viewjob?jk=9490f18d24a47cc5,real time software engineer,"modeling, performance, real-time, remote"
apply_first,12,A,Capgemini,NVH Performance Engineer,"Auburn Hills, MI, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=dfc6378b56691de2,"modeling and simulation engineer, simulation engineer, simulation software engineer","modeling, performance, simulation"
apply_first,12,B,CPMC LLC,Senior Software Engineer / Research Engineer – Large‑Scale Statistical Systems,"Remote, US",indeed,2026-05-01,https://www.indeed.com/viewjob?jk=880f2613413386ea,"hpc software engineer, scientific computing engineer","distributed, hpc, performance, remote, senior, software, systems"
apply_first,12,A,Figma,"Software Engineer, Distributed Systems","San Francisco, CA",linkedin,2026-05-11,https://www.linkedin.com/jobs/view/4239977995,real time software engineer,"distributed, software, systems"
apply_first,12,A,Ford Motor Company,Systems Engineer,"Dearborn, MI, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=fe7f6cf799177fed,real time software engineer,"concurrency, modeling, performance, systems"
apply_first,12,A,Ford Motor Company,Systems Engineer – End-to-End Software Diagnostics & Observability,"Dearborn, MI, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=19ea1f2dda277838,real time software engineer,"concurrency, modeling, software, systems"
apply_first,12,A,General Motors (GM),Chassis Controls MIL Developer,"Milford, MI, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=3e841acb82e54f40,simulation software engineer,"developer, modeling, performance, simulation"
apply_first,12,A,General Motors (GM),Simulation Integration Engineer,"Milford, MI, US",indeed,2026-05-12,https://www.indeed.com/viewjob?jk=188c38395d4ae304,modeling and simulation engineer,"modeling, simulation"
apply_first,12,A,General Motors (GM),Simulation Integration Engineer,"Milford, MI, US",indeed,2026-05-12,https://www.indeed.com/viewjob?jk=97ebc72ce74a2f23,modeling and simulation engineer,"modeling, simulation"
apply_first,12,A,NGEN Mission Critical,"Electrical Engineer, Power Systems","Remote, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=8b7991e202d6842b,simulation engineer,"performance, remote, simulation, systems"
apply_first,12,A,Rheinmetall,Software Embedded Engineer,"Auburn Hills, MI, US",indeed,2026-05-13,https://www.indeed.com/viewjob?jk=072709fa8f4e73af,"modeling and simulation engineer, simulation software engineer","modeling, performance, simulation, software"
review,11,B,The Johns Hopkins University,HPC Scientific Software Engineer (IT@JH Research Computing),"Baltimore, MD",linkedin,2026-05-07,https://www.linkedin.com/jobs/view/4411268982,scientific computing engineer,"hpc, scientific, software"
review,10,A,Blue Chip Talent,Simulation Engineer #26007,"Plymouth, MI",linkedin,2026-05-05,https://www.linkedin.com/jobs/view/4410724527,simulation engineer,simulation
