recommendation,score,tier,company,title,location,sites,posted,compensation,job_url,query_labels,reasons
apply_first,15,A,IC Resources,Python / LLM Engineer (Contract or Permanent),,linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426746074,llm engineer contract,"contract, llm"
apply_first,14,A,CBTS,"AI Software Engineer III (Only W2, No Third party)","Detroit, MI",linkedin,nan,,https://www.linkedin.com/jobs/view/4415111443,"ai engineer contract, llm engineer contract, rag engineer contract","ai, contract, software"
apply_first,14,A,CBTS,AI Software Engineer III (W2 Contract only),"Detroit, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4415121150,"ai engineer contract, rag engineer contract","ai, contract, software"
apply_first,14,A,Riverbed Technology,Performance Consultant,"Remote, US",indeed,2026-06-09,,https://www.indeed.com/viewjob?jk=ba520df99a62e08e,ai automation consultant,"compliance domain, performance, remote, workflow automation"
apply_first,13,A,Reply,Consultant (m/w/d) – Generative AI (AI Business Solutions),,linkedin,2026-06-15,,https://www.linkedin.com/jobs/view/4425780582,ai automation consultant,"ai, llm, solutions"
apply_first,12,A,"Presto Phoenix, Inc.",AI Engineer (Contract),,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426608544,ai engineer contract,"ai, contract"
review,11,A,Elbit Systems of America,Principal Algorithm/AI Engineer,"Remote, US",indeed,2026-06-04,,https://www.indeed.com/viewjob?jk=05468a735b42d926,ai engineer contract,"ai, compliance domain, contract, performance, principal, remote"
review,11,B,Insight Global,Legal AI Consultant,,linkedin,2026-06-12,,https://www.linkedin.com/jobs/view/4427204875,legal ai consultant,"ai, compliance domain"
review,11,B,Scale Army Careers,AI Automation Specialist,,linkedin,2026-06-06,,https://www.linkedin.com/jobs/view/4424647510,workflow automation contractor,"ai, workflow automation"
review,11,B,Scale Army Careers,AI Automation Specialist,,linkedin,2026-06-06,,https://www.linkedin.com/jobs/view/4424667248,workflow automation contractor,"ai, workflow automation"
review,10,B,Cambridge Spark,GenAI & Automation Delivery Consultant (Project Basis),,linkedin,2026-06-08,,https://www.linkedin.com/jobs/view/4424862176,workflow automation contractor,"llm, workflow automation"
review,10,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Detroit, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426727893,llm engineer contract,"ai, workflow automation"
review,10,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Grand Rapids, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426738654,llm engineer contract,"ai, workflow automation"
review,10,A,Gozio,Solutions Consultant,"Remote, US",indeed,2026-06-01,,https://www.indeed.com/viewjob?jk=5e96dc4bc4163b88,ai automation consultant,"remote, solutions, workflow automation"
review,10,A,saas nine,Microsoft Copilot Studio Consultant (Power Platform & AI Agents),,linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4414532566,ai automation consultant,"ai, workflow automation"
review,9,A,HTC Global Services,Senior AI Engineer – Generative AI & Machine Learning,"Dearborn, MI",linkedin,nan,,https://www.linkedin.com/jobs/view/4427755395,llm engineer contract,"ai, llm, senior"
review,8,A,Cavendish Professionals,Artificial Intelligence Engineer,,linkedin,2026-06-15,,https://www.linkedin.com/jobs/view/4426402062,ai engineer contract,ai
review,8,A,Few&Far,Artificial Intelligence Engineer,,linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4422911897,ai solutions engineer contract,ai
review,8,A,"Holistic Partners, Inc",Artificial Intelligence Engineer,,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4426630327,ai engineer contract,ai
review,8,A,idigilogic,AI Engineer,,linkedin,2026-06-07,,https://www.linkedin.com/jobs/view/4425017269,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4423187300,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4422753862,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4422748912,ai engineer contract,ai
review,8,A,InterEx Group,Artificial Intelligence Engineer,,linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4421149382,ai engineer contract,ai
review,8,A,Stefanini North America and APAC,Artificial Intelligence Engineer,"Dearborn, MI",linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4413765263,"ai engineer contract, llm engineer contract",ai
review,8,A,Tata Consultancy Services,Senior Engineer - Agentic AI,"Troy, MI",linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4414780196,llm engineer contract,"ai, senior, workflow automation"
low_priority,6,A,Brooksource,Software Engineer,,linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4424009436,"ai engineer contract, rag engineer contract",software
low_priority,6,B,Degreed,Senior Creative Lead | US,"Remote, US",indeed,2026-06-10,"$160,000 - $180,000 yearly source: direct_data",https://www.indeed.com/viewjob?jk=c90cf670c97686a4,workflow automation contractor,"compliance domain, lead, modeling, performance, remote, senior, weak_title_match, workflow automation"
low_priority,6,B,Fertility Bridge,Data Administrator (US),"Remote, US",indeed,2026-06-11,$30 - $40 hourly source: direct_data,https://www.indeed.com/viewjob?jk=27a7a5a65dd2bc5b,workflow automation contractor,"compliance domain, contract, performance, remote, traceability, weak_title_match, workflow automation"
low_priority,6,A,NimbleWay,Commercial Account Executive - Bay Area,"Remote, US",indeed,2026-06-08,,https://www.indeed.com/viewjob?jk=1f5549c71fb8d137,ai automation consultant,"remote, weak_title_match, workflow automation"
