recommendation,score,tier,company,title,location,sites,posted,compensation,job_url,query_labels,reasons
apply_first,20,A,Intec Select,AI Engineer - LLM & Agentic Systems,"London Area, United Kingdom",linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4426348243,"ai engineer contract, rag engineer contract","ai, llm, systems, workflow automation"
apply_first,14,A,Riverbed Technology,Performance Consultant,"Remote, US",indeed,2026-06-09,,https://www.indeed.com/viewjob?jk=ba520df99a62e08e,ai automation consultant,"compliance domain, performance, remote, workflow automation"
apply_first,13,A,QualiSocial,AI Automation Builder (Tech Ops) F/H,"Paris, Île-de-France, France",linkedin,2026-06-04,,https://www.linkedin.com/jobs/view/4423565134,ai automation consultant,"ai, workflow automation"
apply_first,13,A,Reply,Consultant (m/w/d) – Generative AI (AI Business Solutions),,linkedin,2026-06-15,,https://www.linkedin.com/jobs/view/4425780582,ai automation consultant,"ai, llm, solutions"
apply_first,13,B,The Automation Company,Commercial Contracts Attorney — Legal AI Consultant,,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4427652473,legal ai consultant,"ai, compliance domain, workflow automation"
review,11,B,Agora Talent,Special Projects-AI & Automation,"London Area, United Kingdom",linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4410168722,workflow automation contractor,"ai, workflow automation"
review,11,B,hackajob,AVP-Compliance AI and Technology,"Charlotte, NC",linkedin,2026-06-04,,https://www.linkedin.com/jobs/view/4424294471,compliance automation consultant,"ai, compliance domain"
review,11,A,IC Resources,Python / LLM Engineer (Contract or Permanent),,linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426746074,llm engineer contract,llm
review,11,B,Insight Global,Legal AI Consultant,,linkedin,2026-06-12,,https://www.linkedin.com/jobs/view/4427204875,legal ai consultant,"ai, compliance domain"
review,11,B,Robert Half,AI & Automation Engineer,"Charlotte, NC",linkedin,2026-06-15,,https://www.linkedin.com/jobs/view/4427716764,workflow automation contractor,"ai, workflow automation"
review,11,B,The Automation Company,Paralegal / Senior Paralegal — Legal AI Consultant,,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4427647420,legal ai consultant,"ai, compliance domain, senior, workflow automation"
review,10,A,CBTS,"AI Software Engineer III (Only W2, No Third party)","Detroit, MI",linkedin,nan,,https://www.linkedin.com/jobs/view/4415111443,"ai engineer contract, llm engineer contract","ai, software"
review,10,A,CBTS,AI Software Engineer III (W2 Contract only),"Detroit, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4415121150,ai engineer contract,"ai, software"
review,10,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Detroit, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426727893,"fractional ai engineer, llm engineer contract","ai, workflow automation"
review,10,A,Deloitte,Agentic AI Engineer — Healthcare AI,"Grand Rapids, MI",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4426738654,"fractional ai engineer, llm engineer contract","ai, workflow automation"
review,10,A,Gozio,Solutions Consultant,"Remote, US",indeed,2026-06-01,,https://www.indeed.com/viewjob?jk=5e96dc4bc4163b88,ai automation consultant,"remote, solutions, workflow automation"
review,10,A,saas nine,Microsoft Copilot Studio Consultant (Power Platform & AI Agents),,linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4414532566,ai automation consultant,"ai, workflow automation"
review,10,A,Synergize Consulting,Azure Software Engineer / Azure DevOps (AI),,linkedin,2026-06-11,,https://www.linkedin.com/jobs/view/4423659790,ai engineer contract,"ai, software"
review,10,B,TMC Middle East,Senior Consultant – Workflow Automation & Compliance,"Doha, Qatar",linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4414073660,compliance automation consultant,"compliance domain, senior, workflow automation"
review,9,B,Brooksource,Automation Developer,,linkedin,2026-06-09,,https://www.linkedin.com/jobs/view/4425833562,workflow automation contractor,"developer, workflow automation"
review,9,B,Crossing Hurdles,Legal Research Analyst | Remote,,linkedin,2026-06-13,,https://www.linkedin.com/jobs/view/4427276865,legal ai consultant,"compliance domain, remote"
review,9,B,Crossing Hurdles,Legal Research Analyst | Remote,,linkedin,2026-06-13,,https://www.linkedin.com/jobs/view/4427277829,legal ai consultant,"compliance domain, remote"
review,9,B,Crossing Hurdles,Legal Research Analyst | Remote,,linkedin,2026-06-13,,https://www.linkedin.com/jobs/view/4427275877,legal ai consultant,"compliance domain, remote"
review,9,A,Elbit Systems of America,Principal Algorithm/AI Engineer,"Remote, US",indeed,2026-06-04,,https://www.indeed.com/viewjob?jk=05468a735b42d926,ai engineer contract,"ai, compliance domain, performance, principal, remote"
review,9,A,HTC Global Services,Senior AI Engineer – Generative AI & Machine Learning,"Dearborn, MI",linkedin,nan,,https://www.linkedin.com/jobs/view/4427755395,llm engineer contract,"ai, llm, senior"
review,8,A,Adepta Partners,AI Engineer,"Belfast, Northern Ireland, UK",linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4424706689,ai engineer contract,ai
review,8,A,Bravx,Power Platform & AI Consultant,"Eindhoven, North Brabant, Netherlands",linkedin,2026-06-05,,https://www.linkedin.com/jobs/view/4424577154,ai automation consultant,ai
review,8,A,Deloitte,AI Engineers,"Manchester, England, UK",linkedin,2026-06-10,,https://www.linkedin.com/jobs/view/4423126540,rag engineer contract,ai
review,8,A,Few&Far,Artificial Intelligence Engineer,,linkedin,2026-06-03,,https://www.linkedin.com/jobs/view/4422911897,ai solutions engineer contract,ai
review,8,A,iO Associates,AI Engineer,"London, England, UK",linkedin,2026-06-08,,https://www.linkedin.com/jobs/view/4425077381,ai engineer contract,ai
